"tier_4","grid_id","geometry","median_measurements"
"4-006","238363","POLYGON ((-62.83333300000058 46.23333300000293, -62.83333300000059 46.216667000002936, -62.816667000000585 46.21666700000294, -62.8166670000006 46.233333000002936, -62.83333300000058 46.23333300000293))","3"
"4-007","242882","POLYGON ((-63.950000000000664 46.68333300000286, -63.950000000000664 46.66666700000289, -63.933333000000665 46.666667000002896, -63.93333300000068 46.68333300000289, -63.950000000000664 46.68333300000286))","6"
"4-006","239118","POLYGON ((-62.56666700000058 45.983333000002936, -62.566667000000564 45.96666700000294, -62.550000000000566 45.96666700000295, -62.550000000000566 45.98333300000293, -62.56666700000058 45.983333000002936))","2"
"4-006","238761","POLYGON ((-62.66666700000058 46.13333300000295, -62.66666700000057 46.11666700000295, -62.65000000000057 46.11666700000293, -62.65000000000057 46.13333300000295, -62.66666700000058 46.13333300000295))","10"
"4-006","238686","POLYGON ((-62.9333330000006 46.15000000000293, -62.93333300000059 46.133333000002935, -62.91666700000058 46.133333000002956, -62.91666700000058 46.15000000000292, -62.9333330000006 46.15000000000293))","2"
"4-006","238711","POLYGON ((-62.51666700000057 46.15000000000294, -62.51666700000058 46.13333300000293, -62.50000000000057 46.133333000002956, -62.500000000000576 46.15000000000294, -62.51666700000057 46.15000000000294))","2"
"4-006","239080","POLYGON ((-62.65000000000058 46.000000000002956, -62.65000000000057 45.98333300000294, -62.63333300000058 45.98333300000295, -62.633333000000555 46.00000000000295, -62.65000000000058 46.000000000002956))","7"
"4-006","237882","POLYGON ((-62.55000000000057 46.35000000000292, -62.55000000000057 46.33333300000294, -62.53333300000056 46.333333000002916, -62.53333300000056 46.350000000002915, -62.55000000000057 46.35000000000292))","2"
"4-006","238302","POLYGON ((-62.70000000000059 46.25000000000293, -62.70000000000059 46.23333300000294, -62.68333300000058 46.23333300000291, -62.68333300000058 46.25000000000293, -62.70000000000059 46.25000000000293))","2"
"4-006","238935","POLYGON ((-62.73333300000058 46.06666700000293, -62.733333000000584 46.05000000000292, -62.71666700000059 46.05000000000293, -62.716667000000605 46.06666700000293, -62.73333300000058 46.06666700000293))","2"
"4-006","237949","POLYGON ((-62.70000000000061 46.333333000002916, -62.70000000000058 46.3166670000029, -62.68333300000059 46.316667000002944, -62.683333000000566 46.333333000002916, -62.70000000000061 46.333333000002916))","2"
"4-006","238364","POLYGON ((-62.8166670000006 46.233333000002936, -62.816667000000585 46.21666700000294, -62.80000000000059 46.21666700000293, -62.80000000000059 46.23333300000291, -62.8166670000006 46.233333000002936))","2"
"4-006","238648","POLYGON ((-62.46666700000054 46.16666700000294, -62.466667000000555 46.15000000000294, -62.45000000000057 46.15000000000295, -62.45000000000059 46.166667000002946, -62.46666700000054 46.16666700000294))","1"
"4-006","237566","POLYGON ((-62.35000000000058 46.41666700000293, -62.35000000000056 46.40000000000293, -62.333333000000565 46.40000000000291, -62.333333000000565 46.41666700000291, -62.35000000000058 46.41666700000293))","1"
"4-006","240375","POLYGON ((-61.88333300000054 46.60000000000292, -61.883333000000526 46.58333300000292, -61.86666700000052 46.58333300000294, -61.866667000000504 46.600000000002915, -61.88333300000054 46.60000000000292))","3"
"4-007","242416","POLYGON ((-64.05000000000068 47.01666700000287, -64.05000000000068 47.000000000002885, -64.03333300000067 47.00000000000288, -64.03333300000068 47.01666700000288, -64.05000000000068 47.01666700000287))","2"
"4-006","238809","POLYGON ((-62.66666700000057 46.11666700000295, -62.66666700000057 46.100000000002936, -62.65000000000057 46.10000000000295, -62.65000000000057 46.11666700000293, -62.66666700000057 46.11666700000295))","2"
"4-006","237196","POLYGON ((-63.383333000000626 46.48333300000292, -63.38333300000063 46.46666700000291, -63.36666700000064 46.46666700000292, -63.366667000000625 46.483333000002915, -63.383333000000626 46.48333300000292))","5"
"4-006","238388","POLYGON ((-62.41666700000056 46.23333300000295, -62.41666700000056 46.21666700000293, -62.400000000000574 46.216667000002936, -62.40000000000056 46.23333300000294, -62.41666700000056 46.23333300000295))","2"
"4-007","242770","POLYGON ((-64.2000000000007 46.7333330000029, -64.20000000000068 46.7166670000029, -64.18333300000069 46.7166670000029, -64.1833330000007 46.7333330000029, -64.2000000000007 46.7333330000029))","3"
"4-007","243483","POLYGON ((-63.95000000000068 46.4333330000029, -63.950000000000664 46.41666700000291, -63.933333000000665 46.41666700000291, -63.933333000000665 46.43333300000291, -63.95000000000068 46.4333330000029))","8"
"4-006","237453","POLYGON ((-62.71666700000058 46.433333000002904, -62.71666700000059 46.4166670000029, -62.70000000000059 46.41666700000291, -62.70000000000059 46.43333300000291, -62.71666700000058 46.433333000002904))","4"
"4-006","238144","POLYGON ((-63.033333000000596 46.283333000002905, -63.033333000000596 46.26666700000292, -63.01666700000059 46.26666700000294, -63.016667000000595 46.28333300000293, -63.033333000000596 46.283333000002905))","4"
"4-007","243782","POLYGON ((-63.60000000000063 46.283333000002905, -63.60000000000065 46.26666700000289, -63.583333000000636 46.26666700000291, -63.583333000000636 46.28333300000293, -63.60000000000063 46.283333000002905))","6"
